ticker,date,expected_candles,observed_candles,candle_coverage,valid_intraday_returns,stale_price_share,positive_volume_share,all_prices_positive,configured_market_close,effective_market_close
MGLU3.SA,2026-04-08,83,80,0.963855421686747,81,0.20987654320987653,0.9875,True,17:55,16:50
MGLU3.SA,2026-04-09,83,83,1.0,82,0.2073170731707317,0.9879518072289156,True,17:55,16:50
MGLU3.SA,2026-04-10,83,82,0.9879518072289156,81,0.19753086419753085,1.0,True,17:55,16:50
MGLU3.SA,2026-04-13,83,82,0.9879518072289156,81,0.16049382716049382,1.0,True,17:55,16:50
MGLU3.SA,2026-04-14,83,83,1.0,82,0.21951219512195122,0.9879518072289156,True,17:55,16:50
MGLU3.SA,2026-04-15,83,83,1.0,82,0.18292682926829268,0.9879518072289156,True,17:55,16:50
MGLU3.SA,2026-04-16,83,82,0.9879518072289156,81,0.2716049382716049,1.0,True,17:55,16:50
MGLU3.SA,2026-04-17,83,83,1.0,82,0.2073170731707317,0.9879518072289156,True,17:55,16:50
MGLU3.SA,2026-04-20,83,82,0.9879518072289156,81,0.1728395061728395,1.0,True,17:55,16:50
MGLU3.SA,2026-04-22,83,83,1.0,82,0.32926829268292684,1.0,True,17:55,16:50
MGLU3.SA,2026-04-23,83,83,1.0,82,0.25609756097560976,0.9879518072289156,True,17:55,16:50
MGLU3.SA,2026-04-24,83,83,1.0,82,0.32926829268292684,0.9879518072289156,True,17:55,16:50
MGLU3.SA,2026-04-27,83,82,0.9879518072289156,81,0.2839506172839506,1.0,True,17:55,16:50
MGLU3.SA,2026-04-28,83,83,1.0,82,0.23170731707317074,0.9879518072289156,True,17:55,16:50
MGLU3.SA,2026-04-29,83,83,1.0,82,0.24390243902439024,0.9879518072289156,True,17:55,16:50
MGLU3.SA,2026-04-30,83,81,0.9759036144578314,81,0.345679012345679,1.0,True,17:55,16:50
MGLU3.SA,2026-05-04,83,82,0.9879518072289156,81,0.2962962962962963,1.0,True,17:55,16:50
MGLU3.SA,2026-05-05,83,83,1.0,82,0.21951219512195122,0.9879518072289156,True,17:55,16:50
MGLU3.SA,2026-05-06,83,82,0.9879518072289156,81,0.2716049382716049,0.9878048780487805,True,17:55,16:50
MGLU3.SA,2026-05-07,83,83,1.0,82,0.17073170731707318,0.9759036144578314,True,17:55,16:50
MGLU3.SA,2026-05-08,83,82,0.9879518072289156,81,0.2345679012345679,1.0,True,17:55,16:50
MGLU3.SA,2026-05-11,83,82,0.9879518072289156,81,0.25925925925925924,1.0,True,17:55,16:50
MGLU3.SA,2026-05-12,83,83,1.0,82,0.2682926829268293,0.9879518072289156,True,17:55,16:50
MGLU3.SA,2026-05-13,83,82,0.9879518072289156,81,0.1728395061728395,1.0,True,17:55,16:50
MGLU3.SA,2026-05-14,83,82,0.9879518072289156,81,0.2962962962962963,0.9878048780487805,True,17:55,16:50
MGLU3.SA,2026-05-15,83,83,1.0,82,0.23170731707317074,0.9879518072289156,True,17:55,16:50
MGLU3.SA,2026-05-18,83,82,0.9879518072289156,81,0.32098765432098764,1.0,True,17:55,16:50
MGLU3.SA,2026-05-19,83,82,0.9879518072289156,81,0.19753086419753085,0.9878048780487805,True,17:55,16:50
MGLU3.SA,2026-05-20,83,83,1.0,82,0.25609756097560976,0.9879518072289156,True,17:55,16:50
MGLU3.SA,2026-05-21,83,83,1.0,82,0.2682926829268293,0.9879518072289156,True,17:55,16:50
MGLU3.SA,2026-05-22,83,82,0.9879518072289156,81,0.30864197530864196,1.0,True,17:55,16:50
MGLU3.SA,2026-05-25,83,82,0.9879518072289156,81,0.25925925925925924,0.9878048780487805,True,17:55,16:50
MGLU3.SA,2026-05-26,83,83,1.0,82,0.35365853658536583,0.9879518072289156,True,17:55,16:50
MGLU3.SA,2026-05-27,83,83,1.0,82,0.3902439024390244,0.9759036144578314,True,17:55,16:50
MGLU3.SA,2026-05-28,83,83,1.0,82,0.23170731707317074,0.9879518072289156,True,17:55,16:50
MGLU3.SA,2026-05-29,83,82,0.9879518072289156,82,0.25609756097560976,0.9878048780487805,True,17:55,16:50
MGLU3.SA,2026-06-01,83,83,1.0,82,0.2804878048780488,0.9879518072289156,True,17:55,16:50
MGLU3.SA,2026-06-02,83,83,1.0,82,0.3780487804878049,0.9879518072289156,True,17:55,16:50
MGLU3.SA,2026-06-03,83,82,0.9879518072289156,81,0.2345679012345679,0.9878048780487805,True,17:55,16:50
MGLU3.SA,2026-06-05,83,82,0.9879518072289156,81,0.2716049382716049,1.0,True,17:55,16:50
MGLU3.SA,2026-06-08,83,82,0.9879518072289156,81,0.2839506172839506,1.0,True,17:55,16:50
MGLU3.SA,2026-06-09,83,82,0.9879518072289156,81,0.25925925925925924,1.0,True,17:55,16:50
MGLU3.SA,2026-06-10,83,83,1.0,82,0.35365853658536583,0.9879518072289156,True,17:55,16:50
MGLU3.SA,2026-06-11,83,83,1.0,82,0.24390243902439024,0.9879518072289156,True,17:55,16:50
MGLU3.SA,2026-06-12,83,82,0.9879518072289156,81,0.24691358024691357,1.0,True,17:55,16:50
PETR4.SA,2026-03-17,83,83,1.0,82,0.13414634146341464,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-03-18,83,83,1.0,82,0.06097560975609756,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-03-19,83,83,1.0,82,0.04878048780487805,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-03-20,83,82,0.9879518072289156,82,0.04878048780487805,0.9878048780487805,True,17:55,16:50
PETR4.SA,2026-03-23,83,82,0.9879518072289156,81,0.06172839506172839,1.0,True,17:55,16:50
PETR4.SA,2026-03-24,83,82,0.9879518072289156,81,0.07407407407407407,1.0,True,17:55,16:50
PETR4.SA,2026-03-25,83,82,0.9879518072289156,81,0.06172839506172839,1.0,True,17:55,16:50
PETR4.SA,2026-03-26,83,83,1.0,82,0.07317073170731707,0.9759036144578314,True,17:55,16:50
PETR4.SA,2026-03-27,83,83,1.0,82,0.12195121951219512,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-03-30,83,83,1.0,82,0.12195121951219512,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-03-31,83,83,1.0,82,0.06097560975609756,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-04-01,83,82,0.9879518072289156,81,0.037037037037037035,0.9878048780487805,True,17:55,16:50
PETR4.SA,2026-04-02,83,82,0.9879518072289156,81,0.1111111111111111,0.9878048780487805,True,17:55,16:50
PETR4.SA,2026-04-06,83,83,1.0,82,0.07317073170731707,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-04-07,83,83,1.0,82,0.06097560975609756,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-04-08,83,80,0.963855421686747,79,0.05063291139240506,0.9875,True,17:55,16:50
PETR4.SA,2026-04-09,83,82,0.9879518072289156,81,0.08641975308641975,0.9878048780487805,True,17:55,16:50
PETR4.SA,2026-04-10,83,83,1.0,82,0.10975609756097561,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-04-13,83,83,1.0,82,0.13414634146341464,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-04-14,83,83,1.0,82,0.06097560975609756,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-04-15,83,83,1.0,82,0.08536585365853659,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-04-16,83,83,1.0,82,0.08536585365853659,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-04-17,83,81,0.9759036144578314,80,0.0125,1.0,True,17:55,16:50
PETR4.SA,2026-04-20,83,82,0.9879518072289156,81,0.06172839506172839,1.0,True,17:55,16:50
PETR4.SA,2026-04-22,83,83,1.0,82,0.07317073170731707,1.0,True,17:55,16:50
PETR4.SA,2026-04-23,83,82,0.9879518072289156,81,0.07407407407407407,1.0,True,17:55,16:50
PETR4.SA,2026-04-24,83,83,1.0,82,0.06097560975609756,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-04-27,83,83,1.0,82,0.0975609756097561,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-04-28,83,82,0.9879518072289156,81,0.07407407407407407,1.0,True,17:55,16:50
PETR4.SA,2026-04-29,83,83,1.0,82,0.04878048780487805,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-04-30,83,82,0.9879518072289156,82,0.10975609756097561,0.9878048780487805,True,17:55,16:50
PETR4.SA,2026-05-04,83,83,1.0,82,0.07317073170731707,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-05-05,83,83,1.0,82,0.07317073170731707,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-05-06,83,82,0.9879518072289156,81,0.07407407407407407,0.9878048780487805,True,17:55,16:50
PETR4.SA,2026-05-07,83,82,0.9879518072289156,81,0.07407407407407407,1.0,True,17:55,16:50
PETR4.SA,2026-05-08,83,83,1.0,82,0.10975609756097561,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-05-11,83,82,0.9879518072289156,81,0.08641975308641975,1.0,True,17:55,16:50
PETR4.SA,2026-05-12,83,83,1.0,82,0.06097560975609756,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-05-13,83,83,1.0,82,0.07317073170731707,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-05-14,83,83,1.0,82,0.06097560975609756,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-05-15,83,83,1.0,82,0.07317073170731707,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-05-18,83,83,1.0,82,0.024390243902439025,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-05-19,83,83,1.0,82,0.07317073170731707,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-05-20,83,83,1.0,82,0.06097560975609756,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-05-21,83,82,0.9879518072289156,81,0.04938271604938271,1.0,True,17:55,16:50
PETR4.SA,2026-05-22,83,83,1.0,82,0.14634146341463414,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-05-25,83,82,0.9879518072289156,81,0.12345679012345678,0.9878048780487805,True,17:55,16:50
PETR4.SA,2026-05-26,83,83,1.0,82,0.024390243902439025,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-05-27,83,81,0.9759036144578314,80,0.1125,1.0,True,17:55,16:50
PETR4.SA,2026-05-28,83,83,1.0,82,0.08536585365853659,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-05-29,83,82,0.9879518072289156,82,0.0975609756097561,0.9878048780487805,True,17:55,16:50
PETR4.SA,2026-06-01,83,83,1.0,82,0.10975609756097561,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-06-02,83,82,0.9879518072289156,81,0.07407407407407407,1.0,True,17:55,16:50
PETR4.SA,2026-06-03,83,83,1.0,82,0.07317073170731707,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-06-05,83,82,0.9879518072289156,81,0.07407407407407407,1.0,True,17:55,16:50
PETR4.SA,2026-06-08,83,83,1.0,82,0.13414634146341464,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-06-09,83,82,0.9879518072289156,81,0.024691358024691357,1.0,True,17:55,16:50
PETR4.SA,2026-06-10,83,83,1.0,82,0.17073170731707318,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-06-11,83,83,1.0,82,0.12195121951219512,0.9879518072289156,True,17:55,16:50
PETR4.SA,2026-06-12,83,82,0.9879518072289156,81,0.09876543209876543,1.0,True,17:55,16:50
TOTS3.SA,2026-03-17,83,83,1.0,82,0.06097560975609756,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-03-18,83,83,1.0,82,0.024390243902439025,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-03-19,83,83,1.0,82,0.024390243902439025,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-03-20,83,81,0.9759036144578314,81,0.04938271604938271,1.0,True,17:55,16:50
TOTS3.SA,2026-03-23,83,83,1.0,82,0.04878048780487805,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-03-24,83,82,0.9879518072289156,81,0.07407407407407407,1.0,True,17:55,16:50
TOTS3.SA,2026-03-25,83,82,0.9879518072289156,81,0.08641975308641975,1.0,True,17:55,16:50
TOTS3.SA,2026-03-26,83,82,0.9879518072289156,81,0.08641975308641975,1.0,True,17:55,16:50
TOTS3.SA,2026-03-27,83,82,0.9879518072289156,82,0.12195121951219512,0.9878048780487805,True,17:55,16:50
TOTS3.SA,2026-03-30,83,83,1.0,82,0.10975609756097561,0.9759036144578314,True,17:55,16:50
TOTS3.SA,2026-03-31,83,82,0.9879518072289156,81,0.06172839506172839,0.9878048780487805,True,17:55,16:50
TOTS3.SA,2026-04-01,83,82,0.9879518072289156,81,0.12345679012345678,1.0,True,17:55,16:50
TOTS3.SA,2026-04-02,83,81,0.9759036144578314,81,0.024691358024691357,0.9876543209876543,True,17:55,16:50
TOTS3.SA,2026-04-06,83,83,1.0,82,0.15853658536585366,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-04-07,83,83,1.0,82,0.04878048780487805,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-04-08,83,82,0.9879518072289156,81,0.024691358024691357,1.0,True,17:55,16:50
TOTS3.SA,2026-04-09,83,82,0.9879518072289156,81,0.04938271604938271,0.9878048780487805,True,17:55,16:50
TOTS3.SA,2026-04-10,83,83,1.0,82,0.08536585365853659,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-04-13,83,83,1.0,82,0.10975609756097561,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-04-14,83,83,1.0,82,0.08536585365853659,0.9759036144578314,True,17:55,16:50
TOTS3.SA,2026-04-15,83,83,1.0,82,0.0975609756097561,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-04-16,83,83,1.0,82,0.14634146341463414,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-04-17,83,81,0.9759036144578314,80,0.0375,0.9876543209876543,True,17:55,16:50
TOTS3.SA,2026-04-20,83,82,0.9879518072289156,81,0.07407407407407407,0.9878048780487805,True,17:55,16:50
TOTS3.SA,2026-04-22,83,82,0.9879518072289156,81,0.06172839506172839,1.0,True,17:55,16:50
TOTS3.SA,2026-04-23,83,83,1.0,82,0.036585365853658534,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-04-24,83,82,0.9879518072289156,81,0.08641975308641975,1.0,True,17:55,16:50
TOTS3.SA,2026-04-27,83,83,1.0,82,0.14634146341463414,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-04-28,83,83,1.0,82,0.06097560975609756,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-04-29,83,83,1.0,82,0.10975609756097561,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-04-30,83,81,0.9759036144578314,81,0.12345679012345678,1.0,True,17:55,16:50
TOTS3.SA,2026-05-04,83,82,0.9879518072289156,81,0.06172839506172839,1.0,True,17:55,16:50
TOTS3.SA,2026-05-05,83,82,0.9879518072289156,81,0.1111111111111111,1.0,True,17:55,16:50
TOTS3.SA,2026-05-06,83,82,0.9879518072289156,81,0.09876543209876543,0.9878048780487805,True,17:55,16:50
TOTS3.SA,2026-05-07,83,81,0.9759036144578314,81,0.07407407407407407,0.9753086419753086,True,17:55,16:50
TOTS3.SA,2026-05-08,83,83,1.0,82,0.10975609756097561,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-05-11,83,83,1.0,82,0.07317073170731707,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-05-12,83,82,0.9879518072289156,81,0.13580246913580246,1.0,True,17:55,16:50
TOTS3.SA,2026-05-13,83,82,0.9879518072289156,81,0.037037037037037035,0.9878048780487805,True,17:55,16:50
TOTS3.SA,2026-05-14,83,83,1.0,82,0.036585365853658534,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-05-15,83,82,0.9879518072289156,81,0.04938271604938271,0.9878048780487805,True,17:55,16:50
TOTS3.SA,2026-05-18,83,83,1.0,82,0.07317073170731707,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-05-19,83,83,1.0,82,0.06097560975609756,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-05-20,83,83,1.0,82,0.04878048780487805,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-05-21,83,82,0.9879518072289156,81,0.037037037037037035,1.0,True,17:55,16:50
TOTS3.SA,2026-05-22,83,82,0.9879518072289156,81,0.08641975308641975,0.9878048780487805,True,17:55,16:50
TOTS3.SA,2026-05-25,83,83,1.0,82,0.12195121951219512,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-05-26,83,82,0.9879518072289156,81,0.037037037037037035,1.0,True,17:55,16:50
TOTS3.SA,2026-05-27,83,80,0.963855421686747,79,0.08860759493670886,1.0,True,17:55,16:50
TOTS3.SA,2026-05-28,83,83,1.0,82,0.08536585365853659,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-05-29,83,81,0.9759036144578314,81,0.07407407407407407,0.9876543209876543,True,17:55,16:50
TOTS3.SA,2026-06-01,83,82,0.9879518072289156,81,0.09876543209876543,0.9878048780487805,True,17:55,16:50
TOTS3.SA,2026-06-02,83,83,1.0,82,0.10975609756097561,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-06-03,83,83,1.0,82,0.08536585365853659,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-06-05,83,82,0.9879518072289156,81,0.1111111111111111,1.0,True,17:55,16:50
TOTS3.SA,2026-06-08,83,82,0.9879518072289156,81,0.09876543209876543,1.0,True,17:55,16:50
TOTS3.SA,2026-06-09,83,83,1.0,82,0.07317073170731707,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-06-10,83,83,1.0,82,0.024390243902439025,0.9879518072289156,True,17:55,16:50
TOTS3.SA,2026-06-11,83,82,0.9879518072289156,81,0.08641975308641975,1.0,True,17:55,16:50
TOTS3.SA,2026-06-12,83,82,0.9879518072289156,81,0.037037037037037035,1.0,True,17:55,16:50
VALE3.SA,2026-03-17,83,83,1.0,82,0.036585365853658534,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-03-18,83,83,1.0,82,0.04878048780487805,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-03-19,83,82,0.9879518072289156,81,0.037037037037037035,1.0,True,17:55,16:50
VALE3.SA,2026-03-20,83,82,0.9879518072289156,82,0.06097560975609756,0.9878048780487805,True,17:55,16:50
VALE3.SA,2026-03-23,83,82,0.9879518072289156,81,0.024691358024691357,1.0,True,17:55,16:50
VALE3.SA,2026-03-24,83,83,1.0,82,0.04878048780487805,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-03-25,83,81,0.9759036144578314,80,0.025,0.9753086419753086,True,17:55,16:50
VALE3.SA,2026-03-26,83,82,0.9879518072289156,81,0.04938271604938271,1.0,True,17:55,16:50
VALE3.SA,2026-03-27,83,83,1.0,82,0.024390243902439025,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-03-30,83,82,0.9879518072289156,81,0.037037037037037035,1.0,True,17:55,16:50
VALE3.SA,2026-03-31,83,82,0.9879518072289156,81,0.024691358024691357,0.9878048780487805,True,17:55,16:50
VALE3.SA,2026-04-01,83,83,1.0,82,0.06097560975609756,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-04-02,83,82,0.9879518072289156,81,0.04938271604938271,0.9878048780487805,True,17:55,16:50
VALE3.SA,2026-04-06,83,82,0.9879518072289156,81,0.04938271604938271,1.0,True,17:55,16:50
VALE3.SA,2026-04-07,83,83,1.0,82,0.024390243902439025,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-04-08,83,82,0.9879518072289156,81,0.024691358024691357,1.0,True,17:55,16:50
VALE3.SA,2026-04-09,83,83,1.0,82,0.04878048780487805,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-04-10,83,83,1.0,82,0.04878048780487805,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-04-13,83,83,1.0,82,0.08536585365853659,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-04-14,83,83,1.0,82,0.06097560975609756,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-04-15,83,83,1.0,82,0.04878048780487805,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-04-16,83,83,1.0,82,0.04878048780487805,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-04-17,83,83,1.0,82,0.024390243902439025,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-04-20,83,83,1.0,82,0.012195121951219513,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-04-22,83,82,0.9879518072289156,81,0.04938271604938271,1.0,True,17:55,16:50
VALE3.SA,2026-04-23,83,83,1.0,82,0.06097560975609756,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-04-24,83,83,1.0,82,0.036585365853658534,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-04-27,83,82,0.9879518072289156,81,0.06172839506172839,1.0,True,17:55,16:50
VALE3.SA,2026-04-28,83,83,1.0,82,0.024390243902439025,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-04-29,83,82,0.9879518072289156,81,0.024691358024691357,1.0,True,17:55,16:50
VALE3.SA,2026-04-30,83,81,0.9759036144578314,81,0.04938271604938271,1.0,True,17:55,16:50
VALE3.SA,2026-05-04,83,83,1.0,82,0.04878048780487805,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-05-05,83,82,0.9879518072289156,81,0.037037037037037035,1.0,True,17:55,16:50
VALE3.SA,2026-05-06,83,82,0.9879518072289156,81,0.012345679012345678,0.9878048780487805,True,17:55,16:50
VALE3.SA,2026-05-07,83,83,1.0,82,0.04878048780487805,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-05-08,83,82,0.9879518072289156,81,0.012345679012345678,1.0,True,17:55,16:50
VALE3.SA,2026-05-11,83,83,1.0,82,0.06097560975609756,0.9759036144578314,True,17:55,16:50
VALE3.SA,2026-05-12,83,83,1.0,82,0.07317073170731707,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-05-13,83,83,1.0,82,0.036585365853658534,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-05-14,83,83,1.0,82,0.012195121951219513,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-05-15,83,82,0.9879518072289156,81,0.0,1.0,True,17:55,16:50
VALE3.SA,2026-05-18,83,83,1.0,82,0.024390243902439025,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-05-19,83,82,0.9879518072289156,81,0.037037037037037035,0.9878048780487805,True,17:55,16:50
VALE3.SA,2026-05-20,83,83,1.0,82,0.07317073170731707,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-05-21,83,83,1.0,82,0.024390243902439025,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-05-22,83,83,1.0,82,0.012195121951219513,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-05-25,83,82,0.9879518072289156,81,0.012345679012345678,0.9878048780487805,True,17:55,16:50
VALE3.SA,2026-05-26,83,83,1.0,82,0.012195121951219513,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-05-27,83,83,1.0,82,0.06097560975609756,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-05-28,83,83,1.0,82,0.04878048780487805,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-05-29,83,82,0.9879518072289156,82,0.012195121951219513,0.9878048780487805,True,17:55,16:50
VALE3.SA,2026-06-01,83,83,1.0,82,0.08536585365853659,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-06-02,83,83,1.0,82,0.06097560975609756,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-06-03,83,82,0.9879518072289156,81,0.012345679012345678,0.9878048780487805,True,17:55,16:50
VALE3.SA,2026-06-05,83,82,0.9879518072289156,81,0.07407407407407407,1.0,True,17:55,16:50
VALE3.SA,2026-06-08,83,83,1.0,82,0.04878048780487805,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-06-09,83,82,0.9879518072289156,81,0.04938271604938271,1.0,True,17:55,16:50
VALE3.SA,2026-06-10,83,83,1.0,82,0.07317073170731707,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-06-11,83,83,1.0,82,0.07317073170731707,0.9879518072289156,True,17:55,16:50
VALE3.SA,2026-06-12,83,82,0.9879518072289156,81,0.06172839506172839,1.0,True,17:55,16:50
WEGE3.SA,2026-03-17,83,83,1.0,82,0.012195121951219513,0.9879518072289156,True,17:55,16:50
WEGE3.SA,2026-03-18,83,83,1.0,82,0.07317073170731707,0.9879518072289156,True,17:55,16:50
WEGE3.SA,2026-03-19,83,81,0.9759036144578314,80,0.05,1.0,True,17:55,16:50
WEGE3.SA,2026-03-20,83,82,0.9879518072289156,82,0.04878048780487805,0.9878048780487805,True,17:55,16:50
WEGE3.SA,2026-03-23,83,82,0.9879518072289156,81,0.024691358024691357,1.0,True,17:55,16:50
WEGE3.SA,2026-03-24,83,83,1.0,82,0.024390243902439025,0.9879518072289156,True,17:55,16:50
WEGE3.SA,2026-03-25,83,81,0.9759036144578314,80,0.075,1.0,True,17:55,16:50
WEGE3.SA,2026-03-26,83,83,1.0,82,0.08536585365853659,0.9879518072289156,True,17:55,16:50
WEGE3.SA,2026-03-27,83,83,1.0,82,0.08536585365853659,0.9879518072289156,True,17:55,16:50
WEGE3.SA,2026-03-30,83,82,0.9879518072289156,81,0.04938271604938271,0.9878048780487805,True,17:55,16:50
WEGE3.SA,2026-03-31,83,83,1.0,82,0.0,0.9879518072289156,True,17:55,16:50
WEGE3.SA,2026-04-01,83,83,1.0,82,0.036585365853658534,0.9879518072289156,True,17:55,16:50
WEGE3.SA,2026-04-02,83,81,0.9759036144578314,80,0.025,1.0,True,17:55,16:50
WEGE3.SA,2026-04-06,83,83,1.0,82,0.12195121951219512,0.9879518072289156,True,17:55,16:50
WEGE3.SA,2026-04-07,83,83,1.0,82,0.024390243902439025,0.9879518072289156,True,17:55,16:50
WEGE3.SA,2026-04-08,83,82,0.9879518072289156,81,0.07407407407407407,1.0,True,17:55,16:50
WEGE3.SA,2026-04-09,83,82,0.9879518072289156,81,0.08641975308641975,0.9878048780487805,True,17:55,16:50
WEGE3.SA,2026-04-10,83,83,1.0,82,0.07317073170731707,0.9879518072289156,True,17:55,16:50
WEGE3.SA,2026-04-13,83,83,1.0,82,0.04878048780487805,0.9879518072289156,True,17:55,16:50
WEGE3.SA,2026-04-14,83,83,1.0,82,0.06097560975609756,0.9879518072289156,True,17:55,16:50
WEGE3.SA,2026-04-15,83,83,1.0,82,0.07317073170731707,0.9879518072289156,True,17:55,16:50
WEGE3.SA,2026-04-16,83,83,1.0,82,0.06097560975609756,0.9879518072289156,True,17:55,16:50
WEGE3.SA,2026-04-17,83,81,0.9759036144578314,80,0.05,1.0,True,17:55,16:50
WEGE3.SA,2026-04-20,83,83,1.0,82,0.10975609756097561,0.9879518072289156,True,17:55,16:50
WEGE3.SA,2026-04-22,83,82,0.9879518072289156,81,0.024691358024691357,1.0,True,17:55,16:50
WEGE3.SA,2026-04-23,83,83,1.0,82,0.024390243902439025,0.9879518072289156,True,17:55,16:50
WEGE3.SA,2026-04-24,83,82,0.9879518072289156,81,0.012345679012345678,1.0,True,17:55,16:50
WEGE3.SA,2026-04-27,83,82,0.9879518072289156,81,0.06172839506172839,1.0,True,17:55,16:50
WEGE3.SA,2026-04-28,83,83,1.0,82,0.04878048780487805,0.9879518072289156,True,17:55,16:50
WEGE3.SA,2026-04-29,83,82,0.9879518072289156,81,0.012345679012345678,1.0,True,17:55,16:50
WEGE3.SA,2026-04-30,83,81,0.9759036144578314,81,0.08641975308641975,1.0,True,17:55,16:50
WEGE3.SA,2026-05-04,83,82,0.9879518072289156,81,0.04938271604938271,1.0,True,17:55,16:50
